name,lat,lon
100 Mile House,51.64982,-121.28594
Fort St. James,54.45597,-124.26275
Abbotsford,49.05798,-122.25257
Aberdeen,50.65,-120.36667
Acadia,50.97172,-114.05688
Acton,43.62969,-80.04149
Acton Vale,45.65007,-72.56582
Adstock,46.05007,-71.08235
Agassiz,49.23298,-121.76926
Agincourt North,43.80418,-79.27528
Ahuntsic-Cartierville,45.56667,-73.66667
Airdrie,51.30011,-114.03528
Ajax,43.85012,-79.03288
Aklavik,68.21913,-135.01071
Albanel,48.88324,-72.44867
Alberton,46.81685,-64.06542
Albion,49.18751,-122.55687
Alderwood,43.60348,-79.54604
Aldouane,46.63343,-65.06544
Alexandria,45.31317,-74.63665
Alix,52.40012,-113.18525
Alliston,44.15011,-79.86635
Alma,48.55009,-71.6491
Altadore,51.01651,-114.10323
Altamont,49.34078,-123.20253
Altona,49.10469,-97.55961
Amherst,45.83345,-64.19874
Amherstburg,42.10009,-83.09985
Amigo Beach,44.6919,-79.39317
Amos,48.56688,-78.11624
Ange-Gardien,45.35008,-72.93244
Angus,44.31681,-79.88295
Anmore,49.31637,-122.85263
Anten Mills,44.4815,-79.81722
Antigonish,45.61685,-61.99858
Appleton,48.98322,-54.86486
Applewood Park,51.04306,-113.925
Arbour Lake,51.13472,-114.20278
Arbutus Ridge,49.24966,-123.16934
Arctic Bay,73.03752,-85.15057
Ardmore,48.63854,-123.46933
Ardrossan,53.55014,-113.13529
Armstrong,50.44979,-119.20235
Arnprior,45.43341,-76.34939
Arviat,61.10883,-94.05848
Val-des-Sources,45.76678,-71.9324
Ashcroft,50.72372,-121.28207
Assiniboia,49.63336,-105.98446
Athabasca,54.71687,-113.28537
Athens,44.63341,-75.94936
Atikokan,48.75667,-91.62409
Attawapiskat,52.92774,-82.41669
Aurora,44.00011,-79.46632
Austin Heights,49.25,-122.86667
Ayer's Cliff,45.16773,-72.04001
Aylmer,42.76679,-80.98302
Ayr,43.2834,-80.44968
Azilda,46.55008,-81.09975
Baddeck,46.10014,-60.74849
Baden,43.4001,-80.6497
Badger,48.98325,-56.03154
Baie-Comeau,49.21679,-68.14894
Baie-D'Urfé,45.41397,-73.91586
Baker Lake,64.32009,-96.02123
Balgonie,50.48338,-104.26778
Ballantrae,44.03342,-79.2996
Balls Creek,46.15,-60.31118
Bancroft,45.05752,-77.85702
Banff,51.17622,-115.56982
Banff Trail,51.0743,-114.11242
Bankview,51.03333,-114.1
Barraute,48.43349,-77.63279
Barrhead,54.13345,-114.40211
Barrie,44.40011,-79.66634
Barrière,51.18308,-120.1192
Bassano,50.78998,-112.46805
Batchelor Hills,50.71667,-120.36667
Bath,44.18342,-76.78273
Batiscan,46.4947,-72.2515
Battleford,52.73486,-108.3091
Bay Roberts,47.59989,-53.26478
Bay St. George South,48.22781,-58.84162
Bayview,50.97486,-114.11516
Bayview Village,43.77639,-79.38028
Beaconsfield,45.43341,-73.86586
Beauharnois,45.31341,-73.8725
Beaumont,53.35013,-113.41871
Beausejour,50.0622,-96.51669
Beaverlodge,55.21664,-119.43605
Bécancour,46.34106,-72.43224
Beddington Heights,51.12917,-114.07917
Bedford,45.11678,-72.98244
Beeton,44.07988,-79.7816
Belcarra,49.31777,-122.93043
Belfast,46.08341,-62.88197
Bella Bella,52.16311,-128.14399
Belleville,44.16682,-77.38277
Bells Corners,45.31588,-75.83012
Belmont,42.88339,-81.08303
Beloeil,45.56839,-73.20568
Bendale,43.76681,-79.25326
Bentley,52.46544,-114.05008
Berthierville,46.08336,-73.18245
Berwick,45.05015,-64.73208
Berwyn,56.15008,-117.73601
Bethany,44.18342,-78.56625
Big Eddy,51,-118.21667
Biggar,52.05978,-107.98844
Big River,53.83341,-107.01783
Binbrook,43.12135,-79.81104
Blackburn Hamlet,45.43671,-75.56462
Black Diamond,50.68771,-114.23241
Blackfalds,52.38342,-113.7853
Blackstock,44.10012,-78.81626
Blainville,45.66678,-73.88249
Blairmore,49.60002,-114.4353
Blaketown,47.4832,-53.5648
Blind Bay,50.88311,-119.38569
Blind River,46.18336,-82.95817
Bloomfield,48.3832,-53.8981
Blueridge,49.32917,-122.99167
Bluewater,43.46679,-81.59977
Boisbriand,45.61678,-73.83249
Bois-des-Filion,45.66678,-73.74918
Boissevain,49.23062,-100.05586
Bolton,43.87952,-79.73791
Bon Accord,53.83345,-113.41872
Bonavista,48.64989,-53.11474
Bonavista Downs,50.94167,-114.03056
Bonnyville,54.26684,-110.73505
Borden-Carleton,46.26183,-63.67262
Bothwell,42.63339,-81.86648
Botwood,49.14994,-55.34819
Boucherville,45.59104,-73.43605
Bouchette,46.21681,-75.96605
Bouctouche,46.46844,-64.73905
Bourget,45.43475,-75.16028
Boutiliers Point,44.66569,-63.95055
Bowen Island,49.3847,-123.33622
Bow Island,49.86676,-111.36843
Bowmanville,43.91682,-78.68286
Bowness,51.08344,-114.16866
Bracebridge,45.03341,-79.31633
Bradner,49.1,-122.41667
Braeside,50.95421,-114.10538
Brampton,43.68341,-79.76633
Brandon,49.84692,-99.95306
Brant,43.1334,-80.34967
Brantford,43.1334,-80.26636
Brentwood,51.09813,-114.13319
Brentwood Park,49.275,-122.99167
Breslau,43.4668,-80.41638
Bridgeview,49.2081,-122.86028
Bridgewater,44.37856,-64.51882
Bridlewood,50.89979,-114.10812
Brighouse-City Centre,49.16667,-123.13333
Britannia,51.01327,-114.08375
British Properties,49.35,-123.13333
Broadmoor,49.15,-123.13333
Brocklehurst,50.70825,-120.41337
Brockville,44.59132,-75.68705
Bromont,45.31678,-72.64912
Brooks,50.58341,-111.88509
Brookswood,49.06667,-122.66667
Brossard,45.45008,-73.46583
Brownsburg-Chatham,45.68342,-74.4159
Bruno,52.26676,-105.51783
Brussels,43.74316,-81.24998
Buffalo Narrows,55.86086,-108.479
Burford,43.10292,-80.42869
Burgeo,47.61668,-57.61516
Burkeville,49.18333,-123.15
Burlington,43.38621,-79.83713
Burnaby,49.26636,-122.95263
Burnaby Heights,49.28333,-123
Burns Lake,54.22972,-125.76084
Burquitlam,49.26667,-122.88333
Cache Bay,46.36679,-79.98297
Cache Creek,50.81011,-121.3246
Cadboro Bay,48.46667,-123.3
Caesarea,44.15012,-78.83286
Caledon,43.86544,-79.99322
Calgary,51.05011,-114.08529
Callander,46.2168,-79.36632
Calmar,53.26683,-113.81874
Calumet,45.65148,-74.63536
Cambrian Heights,51.08638,-114.09027
Cambridge,43.3601,-80.31269
Cambridge Bay,69.11489,-105.05484
Camlachie,43.03596,-82.1616
Campbell Creek,50.65668,-120.08308
Campbellford,44.30842,-77.79949
Campbell River,50.01634,-125.24459
Camperville,51.98832,-100.14365
Camrose,53.01684,-112.83525
Canal Flats,50.14994,-115.81879
Candiac,45.38338,-73.51587
Canmore,51.08335,-115.35206
Canora,51.63328,-102.43425
Cantley,45.5668,-75.78265
Canyon Heights,49.35493,-123.09743
Canyon Meadows,50.94285,-114.08092
Cap-aux-Meules,47.38208,-61.85968
Cap-Chat,49.09736,-66.68514
Cape Dorset,64.23378,-76.54372
Capitol Hill,51.07031,-114.09559
Capitol Hill,49.28333,-122.98333
Capreol,46.70626,-80.92109
Carberry,49.86893,-99.36021
Carbonear,47.73919,-53.2272
Cardston,49.19998,-113.3019
Cariboo,49.25,-122.88333
Carignan,45.45008,-73.29916
Carleton Place,45.13341,-76.14938
Carlyle,49.63334,-102.26765
Carmacks,62.08835,-136.29295
Carman,49.4992,-98.00156
Carnduff,49.17379,-101.79633
Caronport,50.45006,-105.81787
Carp,45.3501,-76.03267
Carrot River,53.28337,-103.58423
Carseland,50.85011,-113.46864
Carstairs,51.56681,-114.102
Cascade Heights,49.25,-123.01667
Casselman,45.3168,-75.0826
Cassidy,49.04963,-123.886
Castlegar,49.32317,-117.65831
Castleridge,51.10556,-113.95556
Catalina,48.51659,-53.08135
Caulfeild,49.35,-123.25
Cedar,49.11633,-123.8527
Cedarbrae,50.95648,-114.12975
Central Business District,52.13032,-106.66228
Central Saanich,48.56634,-123.41932
Chalk River,46.01682,-77.44948
Chambly,45.45008,-73.28246
Chambord,48.43339,-72.06583
Channel-Port aux Basques,47.57286,-59.13808
Chapais,49.78344,-74.84919
Chaparral,50.88611,-114.03333
Chapleau,47.84053,-83.4034
Charlemagne,45.71678,-73.48247
Charlottetown,46.23459,-63.1256
Chase,50.8165,-119.68571
Chase River,49.13333,-123.91667
Châteauguay,45.38338,-73.74919
Chatham,42.41224,-82.18494
Chelmsford,46.58338,-81.19976
Chelsea,45.5001,-75.78265
Chemainus,48.91633,-123.71937
Cherryville,50.24152,-118.61901
Chertsey,46.07109,-73.89095
Chester,44.54225,-64.23891
Chestermere,51.03341,-113.81867
Chetwynd,55.69988,-121.63627
Chibougamau,49.91684,-74.36586
Chilliwack,49.16638,-121.95257
Chineside,49.26667,-122.83333
Chinook Park,50.98286,-114.08838
Chipman,46.16934,-65.88386
Christina Lake,49.03967,-118.20847
Churchill,58.76811,-94.16674
Chute-aux-Outardes,49.11679,-68.39896
Clairmont,55.26668,-118.78601
Clarence-Rockland,45.5501,-75.29101
Clarenville,48.1666,-53.96482
Clarenville-Shoal Harbour,48.1805,-53.96982
Claresholm,50.03332,-113.58524
Clayburn,49.0691,-122.26176
Clearwater,51.64061,-120.02769
Cliffcrest,43.72192,-79.23091
Cloverdale,49.10797,-122.7276
Clyde River,70.47233,-68.58987
Coaldale,49.7167,-112.61854
Coalhurst,49.7464,-112.93246
Coaticook,45.13339,-71.79907
Cobden,45.63341,-76.88273
Cobourg,43.95977,-78.16515
Cochrane,49.06689,-81.03307
Cochrane,51.18341,-114.46871
Cold Lake,54.46525,-110.18154
Coldstream,50.21649,-119.20235
Coleman,49.63332,-114.502
Collingwood,44.4834,-80.21638
Colwood,48.43293,-123.48591
Comox,49.68294,-124.93613
Conception Bay South,47.49989,-52.99806
Concord,43.80011,-79.48291
Connaught Heights,49.2,-122.95
Constance Bay,45.50011,-76.08267
Contrecoeur,45.85008,-73.23245
Cookshire,45.41536,-71.62962
Cookshire-Eaton,45.41675,-71.6324
Cookstown,44.18341,-79.69964
Coombs,49.29963,-124.41946
Coquitlam,49.2846,-122.78217
Cordova Bay,48.51667,-123.36667
Corner Brook,48.95001,-57.95202
Cornwall,46.22652,-63.21809
Cornwall,45.01809,-74.72815
Corunna,42.88338,-82.43313
Coteau-du-Lac,45.30008,-74.18253
Côte-Nord-du-Golfe-du-Saint-Laurent,50.46682,-59.59832
Côte-Saint-Luc,45.46536,-73.66585
Courcelles,45.87492,-70.98378
Courtenay,49.68657,-124.9936
