from_name,n_regions,avg_time_sec,avg_time_h_m,avg_top_20_h_m,avg_top_19_h_m,avg_top_18_h_m,avg_top_17_h_m,avg_top_16_h_m,avg_top_15_h_m,avg_top_14_h_m,avg_top_13_h_m,avg_top_12_h_m,avg_top_11_h_m,avg_top_10_h_m,avg_top_9_h_m,avg_top_8_h_m,avg_top_7_h_m,avg_top_6_h_m,avg_top_5_h_m,avg_top_4_h_m,avg_top_3_h_m
100 Mile House,20,135887.2,37h 45m,37h 45m,35h 20m,33h 05m,30h 37m,28h 02m,25h 08m,22h 16m,19h 59m,17h 29m,14h 38m,12h 41m,10h 55m,9h 35m,8h 10m,6h 38m,5h 16m,4h 09m,3h 04m
Fort St. James,20,138716.5,38h 32m,38h 32m,36h 05m,33h 47m,31h 17m,28h 38m,25h 41m,22h 45m,20h 23m,17h 48m,14h 51m,13h 07m,11h 15m,9h 46m,8h 50m,7h 46m,6h 21m,4h 26m,3h 22m
Abbotsford,20,141258.0,39h 14m,39h 14m,36h 52m,34h 40m,32h 16m,29h 43m,26h 53m,24h 06m,21h 55m,19h 31m,16h 48m,14h 39m,13h 02m,11h 35m,9h 57m,7h 54m,6h 21m,4h 28m,3h 07m
Aberdeen,20,131684.1,36h 35m,36h 35m,34h 14m,32h 03m,29h 41m,27h 11m,24h 24m,21h 39m,19h 31m,17h 11m,14h 32m,12h 29m,10h 59m,9h 36m,8h 08m,6h 18m,5h 04m,3h 39m,3h 04m
Acadia,20,112704.8,31h 18m,31h 18m,29h 07m,27h 08m,24h 58m,22h 41m,20h 09m,17h 43m,15h 55m,13h 59m,11h 48m,9h 51m,8h 37m,7h 29m,6h 21m,5h 06m,3h 49m,3h 11m,2h 09m
Acton,20,116453.7,32h 21m,32h 21m,30h 13m,28h 24m,26h 37m,24h 44m,23h 02m,21h 25m,19h 50m,18h 05m,16h 42m,15h 07m,13h 46m,12h 16m,10h 39m,8h 56m,6h 40m,4h 50m,2h 49m
Acton Vale,20,114601.4,31h 50m,31h 50m,29h 28m,27h 23m,25h 19m,23h 06m,21h 01m,18h 58m,16h 54m,14h 34m,12h 30m,10h 38m,9h 06m,8h 01m,6h 58m,5h 59m,4h 43m,3h 35m,2h 45m
Adstock,20,118537.8,32h 56m,32h 56m,30h 30m,28h 21m,26h 12m,23h 54m,21h 44m,19h 34m,17h 23m,14h 54m,12h 40m,10h 34m,9h 07m,8h 08m,7h 11m,6h 22m,5h 20m,4h 32m,3h 15m
Agassiz,20,139695.1,38h 48m,38h 48m,36h 26m,34h 14m,31h 50m,29h 18m,26h 29m,23h 42m,21h 31m,19h 08m,16h 25m,14h 17m,12h 42m,11h 17m,9h 40m,7h 40m,6h 10m,4h 21m,3h 08m
Agincourt North,20,114505.5,31h 48m,31h 48m,29h 40m,27h 51m,26h 03m,24h 09m,22h 26m,20h 48m,19h 12m,17h 26m,16h 01m,14h 28m,13h 05m,11h 37m,10h 02m,8h 23m,6h 10m,4h 27m,2h 27m
Ahuntsic-Cartierville,20,112834.5,31h 21m,31h 21m,29h 01m,26h 59m,24h 58m,22h 49m,20h 48m,18h 50m,16h 51m,14h 38m,12h 41m,10h 57m,9h 21m,8h 12m,7h 02m,5h 55m,4h 28m,3h 28m,2h 21m
Airdrie,20,113078.8,31h 25m,31h 25m,29h 13m,27h 12m,25h 02m,22h 44m,20h 11m,17h 43m,15h 54m,13h 56m,11h 44m,9h 49m,8h 37m,7h 27m,6h 23m,5h 08m,3h 47m,3h 06m,2h 12m
Ajax,20,114088.9,31h 41m,31h 41m,29h 32m,27h 42m,25h 54m,23h 59m,22h 15m,20h 36m,18h 59m,17h 11m,15h 45m,14h 13m,12h 47m,11h 20m,9h 46m,8h 08m,5h 57m,4h 16m,2h 16m
Aklavik,20,267283.2,74h 15m,74h 15m,71h 28m,68h 49m,65h 55m,62h 49m,59h 21m,55h 51m,52h 49m,49h 26m,45h 34m,42h 56m,40h 11m,37h 07m,34h 17m,30h 33m,26h 32m,21h 10m,12h 36m
Albanel,20,118327.5,32h 52m,32h 52m,30h 30m,28h 27m,26h 23m,24h 11m,22h 07m,20h 05m,18h 02m,15h 44m,13h 41m,11h 50m,10h 16m,9h 25m,8h 30m,7h 30m,6h 14m,4h 50m,3h 44m
