from_name,n_regions,avg_time_sec,avg_time_h_m,avg_top_20_h_m,avg_top_19_h_m,avg_top_18_h_m,avg_top_17_h_m,avg_top_16_h_m,avg_top_15_h_m,avg_top_14_h_m,avg_top_13_h_m,avg_top_12_h_m,avg_top_11_h_m,avg_top_10_h_m,avg_top_9_h_m,avg_top_8_h_m,avg_top_7_h_m,avg_top_6_h_m,avg_top_5_h_m,avg_top_4_h_m,avg_top_3_h_m
100 Mile House,15,152506.3,42h 22m,,,,,,42h 22m,39h 25m,36h 20m,33h 02m,29h 29m,25h 16m,20h 50m,17h 22m,14h 59m,12h 44m,10h 57m,9h 07m,6h 23m
Fort St. James,15,154816.2,43h 00m,,,,,,43h 00m,39h 59m,36h 50m,33h 28m,29h 49m,25h 30m,20h 55m,17h 16m,15h 10m,12h 41m,10h 38m,9h 16m,7h 16m
Abbotsford,15,158733.4,44h 06m,,,,,,44h 06m,41h 13m,38h 13m,35h 02m,31h 36m,27h 32m,23h 17m,20h 01m,17h 26m,15h 29m,13h 53m,11h 35m,8h 03m
Aberdeen,15,148266.8,41h 11m,,,,,,41h 11m,38h 19m,35h 21m,32h 11m,28h 47m,24h 45m,20h 32m,17h 19m,14h 48m,12h 56m,11h 22m,9h 14m,5h 57m
Acadia,15,125425.2,34h 50m,,,,,,34h 50m,32h 07m,29h 19m,26h 21m,23h 10m,19h 25m,15h 32m,12h 45m,10h 07m,8h 30m,6h 40m,4h 30m,2h 09m
Acton,15,116557.3,32h 23m,,,,,,32h 23m,29h 30m,27h 02m,24h 32m,22h 37m,20h 48m,19h 24m,17h 46m,16h 17m,14h 26m,12h 10m,9h 59m,6h 32m
Acton Vale,15,106528.1,29h 35m,,,,,,29h 35m,26h 14m,23h 12m,20h 04m,17h 22m,14h 38m,12h 06m,9h 42m,7h 36m,5h 56m,4h 33m,2h 38m,1h 33m
Adstock,15,110506.6,30h 42m,,,,,,30h 42m,27h 15m,24h 08m,20h 53m,18h 04m,15h 10m,12h 27m,9h 49m,7h 50m,6h 19m,5h 10m,3h 34m,3h 03m
Agassiz,15,157001.2,43h 37m,,,,,,43h 37m,40h 44m,37h 45m,34h 34m,31h 08m,27h 04m,22h 49m,19h 33m,16h 59m,15h 02m,13h 29m,11h 13m,7h 43m
Agincourt North,15,114480.4,31h 48m,,,,,,31h 48m,28h 54m,26h 25m,23h 55m,21h 58m,20h 07m,18h 41m,17h 05m,15h 38m,13h 44m,11h 32m,9h 24m,6h 05m
Ahuntsic-Cartierville,15,104836.9,29h 07m,,,,,,29h 07m,25h 49m,22h 52m,19h 48m,17h 13m,14h 35m,12h 12m,9h 58m,7h 47m,5h 59m,4h 25m,2h 14m,0h 43m
Airdrie,15,125820.2,34h 57m,,,,,,34h 57m,32h 13m,29h 24m,26h 24m,23h 12m,19h 25m,15h 30m,12h 40m,10h 05m,8h 34m,6h 40m,4h 37m,2h 12m
Ajax,15,113962.9,31h 39m,,,,,,31h 39m,28h 45m,26h 15m,23h 43m,21h 45m,19h 52m,18h 24m,16h 48m,15h 21m,13h 25m,11h 13m,9h 07m,5h 49m
Aklavik,15,274820.4,76h 20m,,,,,,76h 20m,72h 43m,68h 52m,64h 41m,60h 04m,54h 35m,48h 36m,43h 10m,39h 05m,34h 20m,28h 15m,21h 09m,12h 36m
Albanel,15,111925.6,31h 05m,,,,,,31h 05m,27h 46m,24h 48m,21h 44m,19h 06m,16h 27m,14h 02m,11h 46m,9h 44m,8h 44m,7h 35m,6h 00m,5h 18m
