from_name,to_region,straight_distance_km,road_distance_km,road_time_sec,road_time_hours,road_time_h_m,end_lat,end_lon
100 Mile House,British Columbia,0.0,0.0,0.0,0.000,0h 00m,51.6498200,-121.2859400
100 Mile House,Alberta,235.4,427.9,20285.8,5.635,5h 38m,52.8879682,-118.4788279
100 Mile House,Saskatchewan,784.8,1065.9,48687.4,13.524,13h 31m,53.2775565,-109.9996962
100 Mile House,Northwest Territories,934.1,1314.3,62376.0,17.327,17h 20m,60.0001172,-122.9329390
100 Mile House,Yukon,949.5,1358.7,65677.3,18.244,18h 15m,60.0521884,-124.0168627
100 Mile House,Manitoba,1334.3,1680.4,77837.1,21.621,21h 37m,52.8316148,-101.7236824
100 Mile House,Ontario,1842.6,2309.2,102633.1,28.509,28h 31m,49.7387412,-95.1576564
100 Mile House,Nunavut,1626.0,2433.0,122472.1,34.020,34h 01m,65.0116609,-109.7209871
100 Mile House,Québec,2958.5,3718.5,175290.7,48.692,48h 42m,48.5258748,-79.5235351
100 Mile House,New Brunswick,3739.3,4915.5,234631.9,65.176,65h 11m,47.3638255,-68.7634296
100 Mile House,Nova Scotia,4121.4,5459.3,257648.2,71.569,71h 34m,45.8552499,-64.2612054
100 Mile House,Prince Edward Island,4134.9,5501.5,259845.2,72.179,72h 11m,46.1915229,-63.7772032
100 Mile House,Newfoundland and Labrador,3598.9,5462.2,272812.5,75.781,75h 47m,52.8193711,-67.1766909
100 Mile House,Quebec,4196.8,5793.2,286036.0,79.454,79h 27m,47.3812400,-61.8550470
100 Mile House,Newfoundland,4363.4,6053.6,301361.2,83.711,83h 43m,47.5796060,-59.1415050
Fort St. James,British Columbia,0.0,0.0,0.0,0.000,0h 00m,54.4559700,-124.2627500
Fort St. James,Alberta,418.8,509.1,25033.0,6.954,6h 57m,52.8879682,-118.4788279
Fort St. James,Saskatchewan,942.7,1147.2,53434.6,14.843,14h 51m,53.2775565,-109.9996962
Fort St. James,Northwest Territories,621.6,1144.9,54870.9,15.242,15h 15m,60.0001172,-122.9329390
Fort St. James,Yukon,622.4,1189.3,58172.2,16.159,16h 10m,60.0521884,-124.0168627
Fort St. James,Manitoba,1490.1,1761.6,82584.3,22.940,22h 56m,52.8316148,-101.7236824
Fort St. James,Ontario,2040.0,2419.2,107998.4,30.000,30h 00m,49.7387412,-95.1576564
