from_name,to_region,straight_distance_km,road_distance_km,road_time_sec,road_time_hours,road_time_h_m,end_lat,end_lon
100 Mile House,British Columbia,0.0,0.0,0.0,0.000,0h 00m,51.6498200,-121.2859400
100 Mile House,Northern British Colombia,210.0,264.0,12658.2,3.516,3h 31m,53.3712600,-122.5630249
100 Mile House,Alberta,236.5,429.8,20372.2,5.659,5h 40m,52.8819595,-118.4525650
100 Mile House,Victoria Island,310.8,505.2,26633.7,7.398,7h 24m,49.2754863,-123.6030332
100 Mile House,Athabasca,466.9,750.8,35029.9,9.731,9h 44m,55.7792044,-119.9989261
100 Mile House,Saskatchewan,784.4,1065.5,48644.0,13.512,13h 31m,53.2772635,-110.0054260
100 Mile House,North West Territories,934.1,1314.3,62376.0,17.327,17h 20m,60.0001172,-122.9329390
100 Mile House,Yukon,946.6,1310.6,70104.7,19.474,19h 28m,59.9969341,-124.2797599
100 Mile House,Manitoba,1338.0,1684.1,78042.5,21.678,21h 41m,52.8302426,-101.6687422
100 Mile House,Northern Ontario,1842.6,2309.2,102633.1,28.509,28h 31m,49.7387412,-95.1576564
100 Mile House,Nunavut,1635.4,2443.3,123150.0,34.208,34h 13m,65.0981843,-109.6777292
100 Mile House,Quebec,2959.2,3719.2,175328.4,48.702,48h 42m,48.5253899,-79.5140577
100 Mile House,Ungava,2960.8,3799.7,179982.5,49.995,50h 00m,49.0088140,-79.1895946
100 Mile House,Ontario,2947.5,3886.1,187014.3,51.948,51h 57m,45.4095710,-81.8435762
100 Mile House,New Brunswick,3741.2,4918.5,234799.8,65.222,65h 13m,47.3730766,-68.7284697
100 Mile House,Nova Scotia,4120.9,5458.7,257624.5,71.562,71h 34m,45.8580855,-64.2671268
100 Mile House,Prince Edward Island,4134.9,5501.5,259845.2,72.179,72h 11m,46.1915229,-63.7772032
100 Mile House,Cape Breton,4322.9,5732.3,269206.9,74.780,74h 47m,45.6445420,-61.4192020
100 Mile House,Labrador,3597.3,5462.0,272936.7,75.816,75h 49m,52.8341010,-67.1929433
100 Mile House,Newfoundland,4363.4,6053.6,301361.2,83.711,83h 43m,47.5796060,-59.1415050
